Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price,Effective Year,Price Per Sq Meter,Property History Count,EPC Category
"Bristol, City of",2022-07-01,1049,House/Houses,Stoke Bishop CE VC School House,Stoke Bishop CE VC School House 18 Lyndale Avenue Stoke Bishop Bristol BS9 1BS,18.0,Lyndale Avenue,Bristol,BS9 1BS,Stoke Bishop,355638.0,176304.0,Freehold,,Land And Building(S),96.7,0.0,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2012, 2016, 2017, 2020, 2021, 2024",291200.0,,2022.0,3011.3753877973113,6,Low
"Bristol, City of",2022-07-01,802,House/Houses,West Town Lane Caretakers House,West Town Lane Caretakers House 98 West Town Lane Bristol BS4 5DT,,,,BS4 5DT,Stockwood,361538.0,170101.0,Freehold,,Land And Building(S),80.1,0.101694,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2015, 2016, 2021, 2022, 2023, 2025",291200.0,,2022.0,3635.455680399501,6,Low
"Bristol, City of",2022-07-01,710,Flat/Flats,Holy Cross RC VA Primary School Flat,Holy Cross RC VA Primary School Flat Dean Lane Bedminster Bristol BS3 1DB,14.0,Withey Close West,Bristol,BS9 3SX,Southville,358396.0,171788.0,Education Acts Agt,,Building(S) Only,95.0,0.000313,Yes,Direct Service,,,,"2011, 2014, 2016, 2018, 2019, 2021",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,715,House/Houses,Compass Point Primary School House,Compass Point Primary School House 124 British Road Bedminster Bristol BS3 3BZ,124.0,British Road,Bristol,BS3 3BZ,Bedminster,357989.0,171110.0,Freehold,,Land And Building(S),83.65,0.012301,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2011, 2014, 2016, 2019, 2021",291200.0,,2022.0,3481.1715481171545,5,Low
"Bristol, City of",2022-07-01,747,House Service Occupancy,Holymead School House,Holymead School House Rossall Road Brislington Bristol BS4 3NR,,Rossall Road,Bristol,BS4 3NR,Brislington West,361675.0,171168.0,Freehold,,Land And Building(S),116.2,0.012546,Yes,Direct Service,G,2200.0,,"2011, 2014, 2016, 2018, 2021",291200.0,,2022.0,2506.024096385542,5,Low
"Bristol, City of",2022-07-01,909,Land-Housing Non-Council Development,Elm Hays,Elm Hays - Land At Bedminster Down Bristol BS13 8DD,,,,BS13 8DD,Bishopsworth,356661.0,168921.0,Freehold Reversion,,Land Only,95.0,0.757383,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2012, 2016, 2019, 2021, 2025",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,912,House Service Occupancy,St Peters CE VC Primary School House,St Peters CE VC Primary School House Ellfield Close Bishopsworth Bristol BS13 8EF,,Ellfield Close,Bristol,BS13 8EF,Bishopsworth,356844.0,168745.0,Freehold,,Land And Building(S),85.3,0.041852,Yes,Direct Service,G,2200.0,,"2012, 2016, 2021, 2022",291200.0,,2022.0,3413.833528722157,4,Low
"Bristol, City of",2022-07-01,921,House/Houses,Headley Park Primary School House,Headley Park Primary School House Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Bishopsworth,357738.0,168990.0,Freehold,,Land And Building(S),89.0,0.040756,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2016, 2017, 2018, 2021",291200.0,,2022.0,3271.9101123595506,5,Low
"Bristol, City of",2022-07-01,922,Scout/Guide Building Land,Headley Park Primary School - Scout Hut Land,Headley Park Primary School - Scout Hut Land Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Bishopsworth,357735.0,169031.0,Freehold,,Land Only,0.0,0.042841,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2020, 2021, 2024",291200.0,,2022.0,0.0,5,Low
"Bristol, City of",2022-07-01,965,Scout/Guide Building Land,Harrington Road Scout Premises,Harrington Road Scout Premises Harrington Road Stockwood Bristol BS14 8JZ,,,,BS14 8JZ,Stockwood,362009.0,168602.0,Freehold,,Land Only,95.0,0.1506,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2013, 2015, 2016, 2021, 2025",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,1153,House Service Occupancy,Broomhill Junior Infants School House,Broomhill Junior Infants School House 217 Allison Road Brislington  Bristol BS4 4PA,217.0,Allison Road,Bristol,BS4 4PA,Brislington East,362619.0,171340.0,Freehold,,Land And Building(S),84.6,0.0186,Yes,Direct Service,F,2000.0,,"2010, 2013, 2014, 2016, 2021, 2023, 2025",291200.0,,2022.0,3442.0803782505914,7,Low
"Bristol, City of",2022-07-01,851,House/Houses,Greenfield Primary School House,Greenfield Primary School House Novers Lane Knowle West Bristol BS4 1QW,,Novers Lane,Bristol,BS4 1QW,Filwood,358459.0,169319.0,Freehold,,Land And Building(S),89.8,0.04265,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2012, 2014, 2016, 2021, 2022, 2024",291200.0,,2022.0,3242.761692650334,7,Low
"Bristol, City of",2022-07-01,772,House/Houses,Parson Street School Caretakers House,Parson Street School Caretakers House 46 Parson Street Bedminster Bristol BS3 5QG,46.0,Parson Street,Bristol,BS3 5QG,Filwood,358004.0,170492.0,Freehold,,Land And Building(S),93.8,0.0392,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2012, 2013, 2016, 2018, 2019, 2021, 2024",291200.0,,2022.0,3104.4776119402986,7,Low
"Bristol, City of",2022-07-01,795,House/Houses,Knowle Park Primary School House,Knowle Park Primary School House 70 Queenshill Road Knowle Bristol BS4 2XQ,70.0,Queenshill Road,Bristol,BS4 2XQ,Knowle,360204.0,170403.0,Freehold,,Land And Building(S),88.3,0.047336,Yes,Direct Service,E,1800.0,,"2012, 2016, 2019, 2020, 2021",291200.0,,2022.0,3297.8482446206117,5,Low
"Bristol, City of",2022-07-01,864,House/Houses,Oasis Academy Connaught School House,Oasis Academy Connaught School House 1 Leinster Avenue Knowle Bristol BS4 1NH,1.0,Leinster Avenue,Bristol,BS4 1NH,Filwood,359265.0,170021.0,Freehold Reversion,,Land And Building(S),87.4,0.032747,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2015, 2016, 2021",291200.0,,2022.0,3331.807780320366,4,Low
"Bristol, City of",2022-07-01,877,House Service Occupancy,Ilminster Avenue Specialist Nursery School And Children's Centre Caretaker's  House,Ilminster Avenue Specialist Nursery School And Children's Centre Caretaker's  House 154 Ilminster Avenue Knowle Bristol BS4 1BX,154.0,Ilminster Avenue,Bristol,BS4 1BX,Knowle,360012.0,169874.0,Freehold,,Land And Building(S),83.2,,Yes,Direct Service,G,2200.0,,"2011, 2012, 2013, 2016, 2021, 2024",291200.0,,2022.0,3500.0,6,Low
"Bristol, City of",2022-07-01,886,House/Houses,Oasis Academy John Williams School House,Oasis Academy John Williams School House 70 Petherton Gardens Hengrove Bristol BS14 9BU,,,,BS14 9BU,Hengrove & Whitchurch Park,360700.0,169137.0,Freehold Reversion,,Land And Building(S),0.0,0.048374,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2013, 2014, 2016, 2021",291200.0,,2022.0,0.0,5,Low
"Bristol, City of",2022-07-01,315,House Service Occupancy,Sefton Park Junior/Infant School House,Sefton Park Junior/Infant School House St Bartholomews Road Ashley Down Bristol BS7 9BJ,,St Bartholomews Road,Bristol,BS7 9BJ,Ashley,359632.0,175271.0,Freehold,,Land And Building(S),86.0,0.009015,Yes,Direct Service,E,1800.0,,"2012, 2015, 2016, 2019, 2021, 2022, 2024",291200.0,,2022.0,3386.046511627907,7,Low
"Bristol, City of",2022-07-01,335,House Service Occupancy,Bristol Metropolitan College Bungalow,Bristol Metropolitan College Bungalow Snowdon Road Fishponds Bristol BS16 2EQ,,Snowdon Road,Bristol,BS16 2HD,Eastville,362642.0,175970.0,Freehold,,Land And Building(S),86.0,0.031174,Yes,Direct Service,F,2000.0,,"2016, 2017, 2021, 2024, 2025",291200.0,,2022.0,3386.046511627907,5,Low
"Bristol, City of",2022-07-01,233,House/Houses,Elmlea School Caretakers House,Elmlea School Caretakers House The Bungalow The Dell Westbury-on-Trym Bristol BS9 3UF,,The Dell,Bristol,BS9 3UF,Westbury-on-Trym & Henleaze,356942.0,176434.0,Freehold,,Land And Building(S),87.6,0.11843,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2016, 2017, 2019, 2021, 2023",291200.0,,2022.0,3324.2009132420094,5,Low
"Bristol, City of",2022-07-01,380,House/Houses,Former Fairfield School - School House,Former Fairfield School - School House 15 Fairfield Road Montpelier Bristol BS6 5JN,15.0,Fairfield Road,Bristol,BS6 5JN,Ashley,359625.0,174610.0,Freehold,,Land And Building(S),95.0,0.020916,Yes,Direct Service,,,,"2013, 2015, 2016, 2018, 2021",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,627,Land-Quay/Marina/Slipway/Mooring,Channel Yacht Sales,Channel Yacht Sales Avon Quay Hotwells Bristol BS1 6XL,,Avon Quay,Bristol,BS1 6XL,Hotwells & Harbourside,357208.0,172259.0,Freehold,,Land Only,95.0,0.044027,,Investment Properties,,,,"2015, 2016, 2018, 2021",,,2022.0,0.0,4,Unknown
"Bristol, City of",2022-07-01,415,House/Houses,Evergreen Primary Academy House,Evergreen Primary Academy House 14 Millpond Street Baptist Mills Bristol BS5 0YN,14.0,Millpond Street,Bristol,BS5 0YN,Lawrence Hill,360308.0,174306.0,Freehold Reversion,,Land And Building(S),83.2,0.082257,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2012, 2013, 2014, 2016, 2020, 2021",291200.0,,2022.0,3500.0,6,Low
"Bristol, City of",2022-07-01,427,House/Houses,May Park School Bungalow,May Park School Bungalow Coombe Road Eastville Bristol BS5 6LF,,Coombe Road,Bristol,BS5 6LF,Eastville,361374.0,174973.0,Freehold Reversion,,Land And Building(S),81.5,0.065645,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2020, 2021, 2022, 2023, 2024",291200.0,,2022.0,3573.006134969325,7,Low
"Bristol, City of",2022-07-01,157,House Service Occupancy,Elmfield School Caretakers House,Elmfield School Caretakers House Greystoke Avenue Southmead Bristol BS10 6AY,,,,BS10 ,Southmead,357629.0,177758.0,Freehold,Vacant,Land And Building(S),121.3,0.103747,Yes,Direct Service,E,1800.0,,"2011, 2012, 2016, 2019, 2021, 2023",291200.0,,2022.0,2400.6595218466614,6,Low
"Bristol, City of",2022-07-01,164,House/Houses,Westbury-on-Trym CE VC School Caretakers Bungalow,Westbury-on-Trym CE VC School Caretakers Bungalow Channells Hill Westbury-on-Trym Bristol BS9 3HZ,25.0,Channells Hill,Bristol,BS9 3HZ,Westbury-on-Trym & Henleaze,357396.0,177602.0,Freehold Reversion,,Land And Building(S),83.2,0.058631,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2014, 2016, 2017, 2021",291200.0,,2022.0,3500.0,4,Low
"Bristol, City of",2022-07-01,168,House Service Occupancy,Horfield CE VC School House,Horfield CE VC School House 38 Bishop Manor Road Horfield Bristol BS10 5BD,38.0,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358865.0,177313.0,Freehold,,Land And Building(S),85.2,0.04262,Yes,Direct Service,G,2200.0,,"2010, 2016, 2017, 2021, 2024, 2025",291200.0,,2022.0,3417.8403755868544,6,Low
"Bristol, City of",2022-07-01,172,Land-Housing Non-Council Development,Ash Lea Court,Ash Lea Court Lyddington Road Horfield Bristol BS7 0FD,,Lyddington Road,Bristol,BS7 0FD,Horfield,359560.0,177928.0,Freehold Reversion,,Land Only,0.0,0.441801,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2016, 2019, 2021, 2023, 2024, 2025",291200.0,,2022.0,0.0,6,Low
"Bristol, City of",2022-07-01,174,House/Houses,The Orchard School House,The Orchard School House 225 Filton Road Horfield Bristol BS7 0XZ,225.0,Filton Road,Bristol,BS7 0XY,Horfield,359809.0,177842.0,Freehold,,Land And Building(S),95.0,0.073757,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2013, 2014, 2016, 2021, 2022, 2023",,,2022.0,0.0,7,Unknown
"Bristol, City of",2022-07-01,95,House/Houses,Blaise Primary School House,Blaise Primary School House 14 Clavell Road Henbury Bristol BS10 7EJ,14.0,Clavell Road,Bristol,BS10 7EJ,Henbury & Brentry,356842.0,178901.0,Freehold,,Land And Building(S),89.8,0.097341,Yes,Direct Service,F,2000.0,,"2016, 2018, 2019, 2021, 2025",291200.0,,2022.0,3242.761692650334,5,Low
"Bristol, City of",2022-07-01,132,Scout/Guide Building Land,Girl Guide HQ,Girl Guide HQ St Marys Road Shirehampton Bristol BS11 9RN,,St Marys Road,Bristol,BS11 9RN,Avonmouth & Lawrence Weston,352826.0,177018.0,Freehold,,Land Only,95.0,0.080918,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2011, 2016, 2021, 2024",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,133,Scout/Guide Building Land,St Marys Road - Land At,St Marys Road - Land At Scout Hut St Marys Road Shirehampton Bristol BS11 9RN,,St Marys Road,Bristol,BS11 9RN,Avonmouth & Lawrence Weston,352826.0,177018.0,Freehold,,Land Only,95.0,0.061721,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2016, 2019, 2020, 2021, 2022, 2024",,,2022.0,0.0,7,Unknown
"Bristol, City of",2022-07-01,138,House/Houses,Oasis Academy Long Cross - School House,Oasis Academy Long Cross - School House 98B Long Cross Lawrence Weston Bristol BS11 0LP,98.0,Long Cross,Bristol,BS11 0LP,Avonmouth & Lawrence Weston,353717.0,177789.0,Freehold Reversion,,Land And Building(S),95.0,0.036904,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2021, 2024, 2025",,,2022.0,0.0,4,Unknown
"Bristol, City of",2022-07-01,51,House/Houses,Henbury Court Primary School House,Henbury Court Primary School House 10 Trevelyan Walk Henbury Bristol BS10 7NY,10.0,Trevelyan Walk,Bristol,BS10 7NY,Henbury & Brentry,356522.0,179191.0,Freehold,,Land And Building(S),80.9,0.032151,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2012, 2014, 2016, 2021, 2025",291200.0,,2022.0,3599.505562422744,6,Low
"Bristol, City of",2022-07-01,55,House/Houses,Henbury Secondary School House,Henbury Secondary School House 41 Marissal Road Henbury Bristol BS10 7NH,41.0,Marissal Road,Bristol,BS10 7NH,Henbury & Brentry,356204.0,179354.0,Freehold,,Land And Building(S),110.0,0.06049,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2012, 2016, 2017, 2019, 2021",291200.0,,2022.0,2647.2727272727275,6,Low
"Bristol, City of",2022-07-01,61,House Service Occupancy,Brentry Primary School House,Brentry Primary School House Brentry Lane Brentry Bristol BS10 6RG,100.0,Brentry Lane,Bristol,BS10 6RG,Henbury & Brentry,357693.0,179421.0,Freehold,,Land And Building(S),84.0,0.047094,Yes,Direct Service,G,2200.0,,"2016, 2017, 2021, 2022, 2024",291200.0,,2022.0,3466.6666666666665,5,Low
"Bristol, City of",2022-07-01,547,House/Houses,Easton CE Primary School House,Easton CE Primary School House Beaufort Street Easton Bristol BS5 0SQ,,Beaufort Street,Bristol,BS5 0SQ,Lawrence Hill,360289.0,173670.0,Education Acts Agt,,Building(S) Only,95.0,0.025926,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2021, 2022, 2023, 2024",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,557,Land-Community Development,Barton Hill Settlement - Part Of,Barton Hill Settlement - Part Of 43 Ducie Road Barton Hill Bristol BS5 0AX,41.0,Ducie Road,Bristol,BS5 0AX,Lawrence Hill,360932.0,173182.0,Freehold,,Land Only,95.0,0.215117,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2015, 2016, 2017, 2021",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,568,Scout/Guide Building Land,Whitehall Road - Land At (Scout Premises),Whitehall Road - Land At (Scout Premises) Redfield Bristol,278.0,Whitehall Road,Bristol,BS5 7BG,St George West,361740.0,173944.0,Freehold,,Land Only,95.0,0.0321,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2012, 2016, 2018, 2021",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,456,House/Houses,Minerva Primary Academy School House,Minerva Primary Academy School House 2 The Greenway Hillfields Park Bristol BS16 4EZ,2.0,The Greenway,Bristol,BS16 4EZ,Hillfields,364314.0,174940.0,Freehold Reversion,,Land And Building(S),116.9,0.015194,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2016, 2018, 2020, 2021, 2022, 2025",291200.0,,2022.0,2491.017964071856,7,Low
"Bristol, City of",2022-07-01,462,House/Houses,Our Lady Of The Rosary RC VA School House,Our Lady Of The Rosary RC VA School House 50 Broadlands Drive Lawrence Weston Bristol BS11 0PF,50.0,Broadlands Drive,Bristol,BS11 0PF,Avonmouth & Lawrence Weston,354191.0,178045.0,Freehold,,Land And Building(S),85.2,0.039922,Yes,Direct Service,E,1800.0,,"2016, 2017, 2019, 2021, 2023, 2024, 2025",291200.0,,2022.0,3417.8403755868544,7,Low
"Bristol, City of",2022-07-01,501,Sports Building/Hall/Facility,St Pauls Community Sports Academy,St Pauls Community Sports Academy Newfoundland Road St Pauls Bristol BS2 9NH,,Newfoundland Road,Bristol,BS2 9NH,Ashley,359813.0,173908.0,Freehold,,Land And Building(S),2031.8,0.902259,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2012, 2016, 2018, 2020, 2021, 2024",608656.14,,2022.0,299.5649867112905,7,Low
"Bristol, City of",2022-07-01,502,House/Houses,Cabot Primary School Bungalow,Cabot Primary School Bungalow Halston Drive St Pauls Bristol BS2 9JE,,Halston Drive,Bristol,BS2 9JE,Ashley,359758.0,173932.0,Freehold,,Land And Building(S),84.0,0.042686,Yes,Direct Service,F,2000.0,,"2015, 2016, 2018, 2019, 2021",291200.0,,2022.0,3466.6666666666665,5,Low
"Bristol, City of",2022-07-01,246,House Service Occupancy,Henleaze Junior School House ,Henleaze Junior School House  50 Park Grove  Henleaze  Bristol  BS9 4LG,50.0,Park Grove,Bristol,BS9 4LG,Westbury-on-Trym & Henleaze,358054.0,176424.0,Freehold,,Land And Building(S),79.8,0.084117,Yes,Direct Service,E,1800.0,,"2011, 2013, 2016, 2017, 2021, 2025",291200.0,,2022.0,3649.122807017544,6,Low
"Bristol, City of",2022-07-01,273,House/Houses,Begbrook Primary School House,Begbrook Primary School House 55 Begbrook Drive Stapleton Bristol BS16 1HG,55.0,Begbrook Drive,Bristol,BS16 1HG,Frome Vale,362767.0,176671.0,Freehold,,Land And Building(S),84.3,0.0304,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2011, 2014, 2016, 2021, 2022",291200.0,,2022.0,3454.329774614472,6,Low
"Bristol, City of",2022-07-01,277,Scout/Guide Building Land,Ham Lane - Land At,Ham Lane - Land At Ham Lane Stapleton Bristol BS16 1EE,,,,BS16 1EE,Frome Vale,362323.0,176654.0,Freehold,,Land Only,95.0,0.364785,,Indirect Service / Non-Investment Letting(s),,,,"2015, 2016, 2019, 2021, 2023",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,356,House Service Occupancy,Chester Park Infant/Junior School House,Chester Park Infant/Junior School House 298 Ridgeway Road Fishponds Bristol BS16 3LA,298.0,Ridgeway Road,Bristol,BS16 3LA,Hillfields,363143.0,175185.0,Freehold,,Land And Building(S),80.7,0.0255,Yes,Direct Service,F,2000.0,,"2013, 2016, 2019, 2021",291200.0,,2022.0,3608.4262701363073,4,Low
"Bristol, City of",2022-07-01,362,Sports Building/Hall/Facility,Hillfields Football Club Premises,Hillfields Football Club Premises Thicket Avenue Hillfields Park Bristol BS16 4EH,,,,BS16 ,Hillfields,364013.0,175288.0,Freehold,Vacant,Land And Building(S),95.0,0.0479,,Indirect Service / Non-Investment Letting(s),,,,"2013, 2014, 2016, 2020, 2021, 2023",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,372,House/Houses,Cotham Gardens Primary School House,Cotham Gardens Primary School House 18 Cotham Grove Cotham Bristol BS6 6AL,18.0,Cotham Grove,Bristol,BS6 6AL,Cotham,358514.0,174340.0,Freehold,,Land And Building(S),92.6,0.0,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2012, 2016, 2018, 2019, 2021, 2024, 2025",291200.0,,2022.0,3144.708423326134,7,Low
"Bristol, City of",2022-07-01,138831,Sports Building/Hall/Facility,Bristol Family Cycling Centre,Bristol Family Cycling Centre Hengrove Park Bamfield Hengrove Bristol  BS14 0FE,,,,BS14 0FE,Hengrove & Whitchurch Park,359887.0,168128.0,Freehold,,Land And Building(S),95.0,0.943662,Yes,Direct Service,,,,"2010, 2012, 2016, 2021, 2022, 2025",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,226,House/Houses,Sea Mills Primary School House,Sea Mills Primary School House Riverleaze Sea Mills Bristol BS9 2HL,,Riverleaze,Bristol,BS9 2HL,Stoke Bishop,354950.0,176246.0,Freehold,,Land And Building(S),95.0,0.034576,Yes,Direct Service,,,,"2010, 2011, 2016, 2019, 2021, 2022, 2024, 2025",,,2022.0,0.0,8,Unknown
"Bristol, City of",2022-07-01,141,House Service Occupancy,Oasis Academy Brightstowe School House,Oasis Academy Brightstowe School House Penpole Lane Shirehampton Bristol BS11 0EA,,Penpole Lane,Bristol,BS11 0EA,Avonmouth & Lawrence Weston,353354.0,177167.0,Freehold,,Land And Building(S),95.0,0.042037,Yes,Direct Service,,,,"2010, 2016, 2017, 2018, 2019, 2021, 2023",,,2022.0,0.0,7,Unknown
"Bristol, City of",2022-07-01,145,House/Houses,Kingsweston Special School - Lodge,Kingsweston Special School - Lodge 2 Napier Miles Road Kingsweston Bristol BS11 0UT,,Napier Miles Road,Bristol,BS11 ,Avonmouth & Lawrence Weston,354359.0,177600.0,Freehold,Vacant,Land And Building(S),95.0,0.00442,Yes,Direct Service,,,,"2010, 2011, 2012, 2014, 2016, 2019, 2021, 2025",,,2022.0,0.0,8,Unknown
"Bristol, City of",2022-07-01,87915,Land-Garden,Henshaw Walk - Land At Rear Of 3-9,Henshaw Walk - Land At Rear Of 3-9 Henshaw Walk Speedwell Bristol,5.0,Henshaw Walk,Bristol,BS15 1QG,Hillfields,364378.0,174739.0,Freehold,,Land Only,95.0,0.026354,,Surplus / Non-operational / Under Review,,,,"2011, 2014, 2016, 2020, 2021, 2022",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,124348,Sports Building/Hall/Facility,Netham Sports And Community Pavilion,Netham Sports And Community Pavilion Netham Park Avonvale Road Redfield Bristol BS5 9RN,,Avonvale Road,Bristol,BS5 9RN,Easton,361427.0,172963.0,Freehold,,Land And Building(S),688.0,0.073519,Yes,Direct Service,F,2000.0,,"2011, 2015, 2016, 2018, 2019, 2021",291200.0,,2022.0,423.25581395348837,6,Low
